Question,Option A,Option B,Option C,Option D,Model Answer,Correct Answer,Is Correct,Model Response
Which of the following mitigations involves preventing applications from running that haven't been downloaded from legitimate repositories?,Audit,Execution Prevention,Operating System Configuration,User Account Control,B,B,True,"THE CORRECT ANSWER IS: B) EXECUTION PREVENTION.

EXECUTION PREVENTION IS A SECURITY FEATURE THAT PREVENTS APPLICATIONS FROM RUNNING THAT HAVEN'T BEEN DOWNLOADED FROM LEGITIMATE REPOSITORIES. THIS CAN BE DONE BY CHECKING THE DIGITAL SIGNATURES OF APPLICATIONS OR BY USING A WHITELIST OF APPROVED APPLICATIONS.

AUDIT IS A PROCESS OF REVIEWING AND RECORDING SYSTEM ACTIVITY TO IDENTIFY POTENTIAL SECURITY RISKS. OPERATING SYSTEM CONFIGURATION IS THE PROCESS OF SETTING UP THE OPERATING SYSTEM TO MEET THE SECURITY REQUIREMENTS OF THE ORGANIZATION. USER ACCOUNT CONTROL IS A SECURITY FEATURE THAT HELPS TO PREVENT UNAUTHORIZED USERS FROM MAKING CHANGES TO THE SYSTEM.

THEREFORE, THE BEST OPTION IS B) EXECUTION PREVENTION."
Which data source is recommended for monitoring commands that may circumvent mechanisms designed to control elevation of privileges?,Command,File,Process,User Account,A,D,False,"THE CORRECT ANSWER IS: **A) COMMAND**

COMMANDS ARE THE MOST DIRECT WAY TO ELEVATE PRIVILEGES. BY MONITORING COMMANDS, YOU CAN IDENTIFY SUSPICIOUS ACTIVITY THAT MAY BE AN ATTEMPT TO ELEVATE PRIVILEGES.

FILES, PROCESSES, AND USER ACCOUNTS CAN ALSO BE USED TO ELEVATE PRIVILEGES, BUT THEY ARE LESS DIRECT THAN COMMANDS. FOR EXAMPLE, AN ATTACKER COULD CREATE A MALICIOUS FILE THAT, WHEN EXECUTED, WOULD ELEVATE PRIVILEGES. HOWEVER, THIS WOULD BE MORE DIFFICULT TO DETECT THAN AN ATTACKER SIMPLY RUNNING A COMMAND THAT ELEVATES PRIVILEGES.

THEREFORE, THE BEST DATA SOURCE FOR MONITORING COMMANDS THAT MAY CIRCUMVENT MECHANISMS DESIGNED TO CONTROL ELEVATION OF PRIVILEGES IS **A) COMMAND**."
What does mitigation ID M1028 suggest to prevent privilege escalation exploits on a system?,Limiting privileges of cloud accounts,Preventing unsigned applications from running,Minimizing applications with setuid or setgid bits set,Enforcing the highest UAC level,D,C,False,"THE CORRECT ANSWER IS: **D)** ENFORCING THE HIGHEST UAC LEVEL.

MITIGATION ID M1028 SUGGESTS TO PREVENT PRIVILEGE ESCALATION EXPLOITS ON A SYSTEM BY ENFORCING THE HIGHEST UAC LEVEL. THIS WILL HELP TO PREVENT UNAUTHORIZED USERS FROM GAINING ELEVATED PRIVILEGES ON THE SYSTEM.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE IN PREVENTING PRIVILEGE ESCALATION EXPLOITS. OPTION A, LIMITING PRIVILEGES OF CLOUD ACCOUNTS, MAY HELP TO PREVENT SOME PRIVILEGE ESCALATION ATTACKS, BUT IT IS NOT A COMPLETE SOLUTION. OPTION B, PREVENTING UNSIGNED APPLICATIONS FROM RUNNING, MAY HELP TO PREVENT SOME PRIVILEGE ESCALATION ATTACKS, BUT IT IS NOT A COMPLETE SOLUTION. OPTION C, MINIMIZING APPLICATIONS WITH SETUID OR SETGID BITS SET, MAY HELP TO PREVENT SOME PRIVILEGE ESCALATION ATTACKS, BUT IT IS NOT A COMPLETE SOLUTION.

THEREFORE, THE CORRECT ANSWER IS: **D)** ENFORCING THE HIGHEST UAC LEVEL."
Which process creation is an indicator of potential SYSTEM privilege escalation according to the detection section?,C:\Windows\System32\services.exe,C:\Windows\System32\cmd.exe,C:\Windows\System32\rundll32.exe,C:\Windows\System32\notepad.exe,C,B,False,"THE CORRECT ANSWER IS: C.

THE DETECTION SECTION OF THE CYBER THREAT INTELLIGENCE (CTI) KNOWLEDGE BENCHMARK DATASET STATES THAT THE PROCESS CREATION OF C:\WINDOWS\SYSTEM32\RUNDLL32.EXE IS AN INDICATOR OF POTENTIAL SYSTEM PRIVILEGE ESCALATION.

THE OTHER OPTIONS ARE NOT INDICATORS OF POTENTIAL SYSTEM PRIVILEGE ESCALATION.

C:\WINDOWS\SYSTEM32\SERVICES.EXE IS A SYSTEM PROCESS THAT RUNS SERVICES.

C:\WINDOWS\SYSTEM32\CMD.EXE IS A COMMAND-LINE INTERPRETER THAT CAN BE USED TO RUN COMMANDS.

C:\WINDOWS\SYSTEM32\NOTEPAD.EXE IS A TEXT EDITOR."
"In a Linux environment, what is recommended to monitor for detecting privilege escalation via sudo?",Monitor Windows Registry Key Modification,Monitor OS API Execution,Monitor file metadata for setuid or setgid bits on files,Audit process metadata changes,D,C,False,"THE CORRECT ANSWER IS: **D**.

TO DETECT PRIVILEGE ESCALATION VIA SUDO, YOU SHOULD AUDIT PROCESS METADATA CHANGES. THIS INCLUDES MONITORING FOR CHANGES TO THE FOLLOWING:

* THE PROCESS OWNER
* THE PROCESS GROUP
* THE PROCESS PERMISSIONS
* THE PROCESS ENVIRONMENT VARIABLES
* THE PROCESS COMMAND LINE ARGUMENTS

BY MONITORING THESE CHANGES, YOU CAN IDENTIFY ANY ATTEMPTS TO ESCALATE PRIVILEGES.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT SPECIFICALLY ADDRESS THE ISSUE OF PRIVILEGE ESCALATION VIA SUDO.

* OPTION A IS INCORRECT BECAUSE IT REFERS TO MONITORING WINDOWS REGISTRY KEY MODIFICATION. THIS IS NOT RELEVANT TO A LINUX ENVIRONMENT.
* OPTION B IS INCORRECT BECAUSE IT REFERS TO MONITORING OS API EXECUTION. THIS IS A GENERAL SECURITY MEASURE THAT MAY OR MAY NOT BE EFFECTIVE IN DETECTING PRIVILEGE ESCALATION VIA SUDO.
* OPTION C IS INCORRECT BECAUSE IT REFERS TO MONITORING FILE METADATA FOR SETUID OR SETGID BITS ON FILES. THIS IS A SECURITY MEASURE THAT CAN HELP TO PREVENT UNAUTHORIZED ACCESS TO FILES, BUT IT DOES NOT SPECIFICALLY ADDRESS THE ISSUE OF PRIVILEGE ESCALATION VIA SUDO."
What mitigation ID suggests requiring a password every time sudo is executed to manage privileged accounts?,Audit,Privileged Account Management,Restrict File and Directory Permissions,User Account Management,B,B,True,"THE CORRECT ANSWER IS: **B) PRIVILEGED ACCOUNT MANAGEMENT**

PRIVILEGED ACCOUNT MANAGEMENT (PAM) IS A SECURITY PRACTICE THAT HELPS ORGANIZATIONS MANAGE AND PROTECT THEIR PRIVILEGED ACCOUNTS. PRIVILEGED ACCOUNTS ARE ACCOUNTS THAT HAVE ELEVATED PERMISSIONS, SUCH AS ADMINISTRATOR ACCOUNTS. THESE ACCOUNTS CAN BE USED TO ACCESS SENSITIVE DATA AND SYSTEMS, SO IT IS IMPORTANT TO MANAGE THEM CAREFULLY.

ONE WAY TO MANAGE PRIVILEGED ACCOUNTS IS TO REQUIRE A PASSWORD EVERY TIME SUDO IS EXECUTED. THIS WILL HELP TO PREVENT UNAUTHORIZED USERS FROM ACCESSING SENSITIVE DATA OR SYSTEMS.

THE OTHER OPTIONS ARE NOT AS RELEVANT TO THE QUESTION. AUDITING IS THE PROCESS OF REVIEWING SYSTEM LOGS TO IDENTIFY SUSPICIOUS ACTIVITY. RESTRICTING FILE AND DIRECTORY PERMISSIONS IS THE PROCESS OF LIMITING THE ACCESS THAT USERS HAVE TO FILES AND DIRECTORIES. USER ACCOUNT MANAGEMENT IS THE PROCESS OF CREATING, MANAGING, AND DEACTIVATING USER ACCOUNTS."
"An adversary leveraging the technique ""Abuse Elevation Control Mechanism: Setuid and Setgid"" is targeting which systems from the MITRE ATT&CK Enterprise matrix?",Linux,Windows,macOS,Linux and macOS,D,D,True,"THE CORRECT ANSWER IS: **D) LINUX AND MACOS**

THE ""ABUSE ELEVATION CONTROL MECHANISM: SETUID AND SETGID"" TECHNIQUE IS A TYPE OF PRIVILEGE ESCALATION ATTACK THAT CAN BE USED ON BOTH LINUX AND MACOS SYSTEMS. IT WORKS BY EXPLOITING THE FACT THAT THESE SYSTEMS ALLOW CERTAIN PROGRAMS TO RUN WITH ELEVATED PRIVILEGES, EVEN IF THEY ARE EXECUTED BY A USER WITH LOW PRIVILEGES. BY ABUSING THIS MECHANISM, AN ATTACKER CAN GAIN ACCESS TO FILES AND RESOURCES THAT THEY WOULD NOT OTHERWISE BE ABLE TO ACCESS.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT INCLUDE ALL OF THE SYSTEMS THAT ARE VULNERABLE TO THIS ATTACK. OPTION A ONLY INCLUDES LINUX, OPTION B ONLY INCLUDES WINDOWS, AND OPTION C ONLY INCLUDES MACOS."
Which of the following commands would an adversary use to find files with the setgid bit set on a UNIX-based system?,find / -perm +4000 2>/dev/null,find / -perm +2000 2>/dev/null,ls -l | grep 's',"grep -R ""setgid"" /",A,A,True,"THE CORRECT ANSWER IS: A.

THE SETGID BIT IS A PERMISSION BIT THAT ALLOWS A FILE TO BE OWNED BY A GROUP, RATHER THAN BY AN INDIVIDUAL USER. WHEN A FILE HAS THE SETGID BIT SET, ANY PROCESS THAT EXECUTES THE FILE WILL BE RUN AS THE OWNER OF THE FILE'S GROUP, RATHER THAN AS THE USER WHO EXECUTED THE FILE. THIS CAN BE USEFUL FOR PROGRAMS THAT NEED TO ACCESS FILES THAT ARE OWNED BY A GROUP, SUCH AS LOG FILES OR CONFIGURATION FILES.

THE FIND COMMAND IS A POWERFUL TOOL THAT CAN BE USED TO SEARCH FOR FILES ON A UNIX-BASED SYSTEM. THE -PERM OPTION CAN BE USED TO SPECIFY A PERMISSION MASK, WHICH IS A SET OF BITS THAT INDICATE WHICH PERMISSIONS SHOULD BE CHECKED. THE +4000 PERMISSION BIT INDICATES THAT THE FILE HAS THE SETGID BIT SET.

THE 2>/DEV/NULL OPTION REDIRECTS THE STANDARD ERROR OUTPUT OF THE FIND COMMAND TO THE NULL DEVICE, WHICH DISCARDS ANY ERROR MESSAGES. THIS IS USEFUL WHEN YOU ARE NOT INTERESTED IN THE ERROR MESSAGES THAT ARE GENERATED BY THE FIND COMMAND.

THEREFORE, THE COMMAND FIND / -PERM +4000 2>/DEV/NULL WILL FIND ALL FILES ON THE SYSTEM THAT HAVE THE SETGID BIT SET."
Which mitigation strategy from the MITRE ATT&CK framework is recommended to counteract the abuse of setuid and setgid bits?,M1028 - Ensure disk encryption,M1028 - Operating System Configuration,M1030 - Network Segmentation,M1040 - Application Isolation and Sandboxing,B,B,True,"THE CORRECT ANSWER IS: **B) OPERATING SYSTEM CONFIGURATION**

THE MITRE ATT&CK FRAMEWORK IS A KNOWLEDGE BASE OF ADVERSARY TACTICS AND TECHNIQUES USED IN REAL-WORLD CYBER ATTACKS. THE FRAMEWORK IS ORGANIZED INTO A TAXONOMY OF 12 TACTICS, EACH OF WHICH IS FURTHER DIVIDED INTO SUB-TECHNIQUES.

THE M1028 TECHNIQUE IS PART OF THE PERSISTENCE TACTIC. THIS TECHNIQUE DESCRIBES HOW AN ADVERSARY CAN ABUSE THE SETUID AND SETGID BITS TO GAIN ELEVATED PRIVILEGES ON A SYSTEM. THE SETUID AND SETGID BITS ARE USED TO INDICATE THAT A PROGRAM SHOULD BE EXECUTED WITH THE PRIVILEGES OF THE USER OR GROUP THAT OWNS THE PROGRAM, RESPECTIVELY. AN ADVERSARY CAN EXPLOIT THIS BY CREATING A PROGRAM THAT HAS THE SETUID OR SETGID BIT SET AND THEN EXECUTING IT. THIS WILL CAUSE THE PROGRAM TO BE EXECUTED WITH THE PRIVILEGES OF THE USER OR GROUP THAT OWNS THE PROGRAM, WHICH COULD ALLOW THE ADVERSARY TO GAIN ELEVATED PRIVILEGES ON THE SYSTEM.

TO MITIGATE THIS RISK, IT IS IMPORTANT TO CONFIGURE THE OPERATING SYSTEM TO PREVENT PROGRAMS FROM BEING EXECUTED WITH THE SETUID OR SETGID BIT SET. THIS CAN BE DONE BY SETTING THE APPROPRIATE PERMISSIONS ON THE FILES THAT CONTAIN THE PROGRAMS. ADDITIONALLY, IT IS IMPORTANT TO KEEP THE OPERATING SYSTEM UP TO DATE WITH THE LATEST SECURITY PATCHES. THESE PATCHES OFTEN INCLUDE FIXES FOR VULNERABILITIES THAT COULD BE EXPLOITED BY AN ADVERSARY TO ABUSE THE SETUID AND SETGID BITS.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE AT MITIGATING THE RISK OF ABUSE OF SETUID AND SETGID BITS. OPTION A, M1028 - ENSURE DISK ENCRYPTION, WOULD PREVENT AN ADVERSARY FROM ACCESSING THE DATA ON THE DISK, BUT IT WOULD NOT PREVENT THE ADVERSARY FROM EXECUTING PROGRAMS WITH THE SETUID OR SETGID BIT SET. OPTION C, M1030 - NETWORK SEGMENTATION, WOULD PREVENT AN ADVERSARY FROM ACCESSING CERTAIN PARTS OF THE NETWORK, BUT IT WOULD NOT PREVENT THE ADVERSARY FROM EXECUTING PROGRAMS WITH THE SETUID OR SETGID BIT SET ON THE SYSTEMS THAT ARE ACCESSIBLE TO THE ADVERSARY. OPTION D, M1040 - APPLICATION ISOLATION AND SANDBOXING, WOULD PREVENT AN ADVERSARY FROM ACCESSING SENSITIVE DATA, BUT IT WOULD NOT PREVENT THE ADVERSARY FROM EXECUTING PROGRAMS WITH THE SETUID OR SETGID BIT SET."
Which data source should you monitor to detect changes indicating abuse of setuid or setgid bits on files?,DS0022 - Registry,DS0017 - Command execution,DS0035 - Network Traffic,DS0022 - File Metadata and Modification,D,D,True,"THE CORRECT ANSWER IS: **D) DS0022 - FILE METADATA AND MODIFICATION**

THE SETUID AND SETGID BITS ARE USED TO SET THE USER AND GROUP IDS OF A FILE TO THE USER OR GROUP THAT OWNS THE FILE, RESPECTIVELY. THIS CAN BE USED TO ALLOW A PROGRAM TO RUN WITH THE PRIVILEGES OF THE OWNER OF THE FILE, EVEN IF THE PROGRAM IS EXECUTED BY A DIFFERENT USER. THIS CAN BE A SECURITY RISK, AS IT ALLOWS AN ATTACKER TO RUN A PROGRAM WITH ELEVATED PRIVILEGES.

TO DETECT CHANGES INDICATING ABUSE OF SETUID OR SETGID BITS ON FILES, YOU SHOULD MONITOR THE FILE METADATA AND MODIFICATION DATA SOURCE. THIS DATA SOURCE WILL CONTAIN INFORMATION ABOUT CHANGES TO THE FILE'S PERMISSIONS, OWNERSHIP, AND MODIFICATION TIME. IF YOU SEE CHANGES TO THESE VALUES THAT YOU DO NOT EXPECT, IT MAY INDICATE THAT SOMEONE IS TRYING TO ABUSE THE SETUID OR SETGID BITS.

THE OTHER OPTIONS ARE NOT AS RELEVANT TO DETECTING CHANGES INDICATING ABUSE OF SETUID OR SETGID BITS ON FILES. THE REGISTRY IS A DATABASE OF CONFIGURATION SETTINGS FOR THE OPERATING SYSTEM. COMMAND EXECUTION DATA CONTAINS INFORMATION ABOUT THE COMMANDS THAT HAVE BEEN EXECUTED ON THE SYSTEM. NETWORK TRAFFIC DATA CONTAINS INFORMATION ABOUT THE NETWORK PACKETS THAT HAVE BEEN SENT AND RECEIVED BY THE SYSTEM."
"Which mitigation technique, designated as M1026 under MITRE ATT&CK, should be implemented to limit permissions for users and user groups in creating tokens?",Configuring System File Integrity,Hardening Kernel Module Loading,Partitioning Network Assets,Privileged Account Management,D,D,True,"THE CORRECT ANSWER IS: **D**

PRIVILEGED ACCOUNT MANAGEMENT (PAM) IS A SECURITY FRAMEWORK THAT HELPS ORGANIZATIONS MANAGE AND CONTROL ACCESS TO CRITICAL SYSTEMS AND DATA. PAM CAN BE USED TO LIMIT PERMISSIONS FOR USERS AND USER GROUPS IN CREATING TOKENS, AS WELL AS TO MONITOR AND AUDIT ACCESS TO PRIVILEGED ACCOUNTS.

CONFIGURING SYSTEM FILE INTEGRITY (A) IS A SECURITY MEASURE THAT HELPS TO ENSURE THAT SYSTEM FILES HAVE NOT BEEN TAMPERED WITH. HARDENING KERNEL MODULE LOADING (B) IS A SECURITY MEASURE THAT HELPS TO PROTECT THE KERNEL FROM UNAUTHORIZED ACCESS. PARTITIONING NETWORK ASSETS (C) IS A SECURITY MEASURE THAT HELPS TO ISOLATE DIFFERENT PARTS OF A NETWORK FROM EACH OTHER.

WHILE ALL OF THESE MEASURES CAN HELP TO IMPROVE SECURITY, ONLY PAM SPECIFICALLY ADDRESSES THE ISSUE OF LIMITING PERMISSIONS FOR USERS AND USER GROUPS IN CREATING TOKENS."
"Considering MITRE ATT&CK (Enterprise), which tool is known for its ability to create tokens from known credentials as part of its procedures?",PowerShell Empire,Cobalt Strike,Metasploit Framework,Rubeus,B,B,True,"THE CORRECT ANSWER IS: **B) COBALT STRIKE**

COBALT STRIKE IS A PENETRATION TESTING AND RED TEAMING SOFTWARE THAT ALLOWS USERS TO SIMULATE REAL-WORLD ATTACKS AGAINST COMPUTER SYSTEMS. IT IS KNOWN FOR ITS ABILITY TO CREATE TOKENS FROM KNOWN CREDENTIALS AS PART OF ITS PROCEDURES.

POWERSHELL EMPIRE IS A MODULAR POWERSHELL FRAMEWORK THAT CAN BE USED FOR BOTH OFFENSIVE AND DEFENSIVE PURPOSES. IT IS NOT KNOWN FOR ITS ABILITY TO CREATE TOKENS FROM KNOWN CREDENTIALS.

METASPLOIT FRAMEWORK IS AN OPEN-SOURCE PENETRATION TESTING FRAMEWORK THAT CAN BE USED TO EXPLOIT VULNERABILITIES IN COMPUTER SYSTEMS. IT IS NOT KNOWN FOR ITS ABILITY TO CREATE TOKENS FROM KNOWN CREDENTIALS.

RUBEUS IS A POST-EXPLOITATION FRAMEWORK THAT CAN BE USED TO EXECUTE COMMANDS ON REMOTE SYSTEMS. IT IS NOT KNOWN FOR ITS ABILITY TO CREATE TOKENS FROM KNOWN CREDENTIALS."
