CVE ID	Description	CVSS Vector
CVE-2024-38424	Memory corruption during GNSS HAL process initialization.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38423	Memory corruption while processing GPU page table switch.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38422	Memory corruption while processing voice packet with arbitrary data received from ADSP.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38421	Memory corruption while processing GPU commands.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38419	Memory corruption while invoking IOCTL calls from the use-space for HGSL memory node.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38415	Memory corruption while handling session errors from firmware.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38409	Memory corruption while station LL statistic handling.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38408	Cryptographic issue when a controller receives an LMP start encryption command under unexpected conditions.	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N
CVE-2024-38407	Memory corruption while processing input parameters for any IOCTL call in the JPEG Encoder driver.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38406	Memory corruption while handling IOCTL calls in JPEG Encoder driver.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-38405	Transient DOS while processing the CU information from RNR IE.	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H
CVE-2024-38403	Transient DOS while parsing BTM ML IE when per STA profile is not included.	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H
CVE-2024-33068	Transient DOS while parsing fragments of MBSSID IE from beacon frame.	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H
CVE-2024-33033	Memory corruption while processing IOCTL calls to unmap the buffers.	CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2024-33032	Memory corruption when the user application modifies the same shared memory asynchronously when kernel is accessing it.	CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
